Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
TBR,Rays,122,465,509,125,74,21,1,29,66,86,38,1,94,3,3,0,,4,2,0.268693,0.326171,0.502782,0.828953,0.353283,0.0754417,0.185569,0.406542,0.234089,3.02181,0.27871,0.0,,76.7621,16.6237,-3.52146,-0.619932,-0.619932,3.21019,15.591961324214935,-1.7498013973236084,127.025,699.2,5.73114754,699.2,5.73114754,16.479999542236328,0.03191489,3B,/players/junior-caminero/28163/stats/batting,12,AL,Junior Caminero,691406,28163,28163
TOR,Blue Jays,89,295,333,78,56,13,0,9,30,42,33,1,41,3,2,0,,1,0,0.265203,0.343033,0.40435,0.747383,0.327719,0.0997472,0.12445,0.801504,0.139147,1.50711,0.279711,0.0,,43.3102,3.96447,9.71864,-0.461076,-0.461076,3.1845,3.817143350839615,15.836248397827148,110.901,374.0,4.202247191,374.0,4.202247191,160.25,0.05384615,C,/players/alejandro-kirk/22581/stats/batting,14,AL,Alejandro Kirk,672386,22581,22581
TEX,Rangers,95,356,409,90,54,18,0,19,55,55,47,6,82,3,3,0,,2,0,0.253804,0.343,0.46248,0.80548,0.343375,0.114079,0.200895,0.567854,0.208676,2.70863,0.277469,0.0,,58.4164,10.072,2.07785,-0.266644,-0.266644,3.1756,10.577434748411179,6.3653435707092285,122.487,532.6,5.606315789,532.6,5.606315789,95.08999633789062,0.03703704,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
LAD,Dodgers,111,404,472,105,62,21,1,21,71,71,62,3,71,2,3,1,,15,2,0.26099,0.35954,0.477557,0.837096,0.359655,0.131248,0.151186,0.868122,0.216566,5.44357,0.267264,0.0,,73.6219,17.8565,0.621905,1.38929,1.38929,3.17442,19.551823496818542,-4.242315292358398,132.47,662.9,5.972072072,662.9,5.972072072,13.130000114440918,0.11445783,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
LAD,Dodgers,99,379,434,102,65,20,1,15,65,60,50,2,52,3,2,0,,6,1,0.269092,0.357429,0.452107,0.809536,0.351013,0.115462,0.119765,0.964072,0.183015,4.62479,0.275779,0.0,,64.7267,13.3898,-2.11587,-0.0939934,-0.0939934,3.14303,13.577504873275757,2.6733522415161133,126.549,564.5,5.702020202,564.5,5.702020202,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22,NL,Mookie Betts,605141,13611,13611
MIL,Brewers,121,435,493,116,80,21,3,12,69,59,52,1,101,1,3,3,,23,5,0.266783,0.343572,0.408728,0.752301,0.329336,0.105013,0.205548,0.51089,0.141946,6.32252,0.321033,0.0,,64.7594,6.5158,3.83728,1.60411,1.60411,3.13872,8.582948446273804,5.679263234138489,111.945,594.1,4.909917355,594.1,4.909917355,48.18000030517578,0.0,2B,/players/brice-turang/22186/stats/batting,23,NL,Brice Turang,668930,22186,22186
ATH,Athletics,111,407,447,110,60,24,1,26,62,75,35,1,100,3,2,0,,3,1,0.270833,0.330711,0.525889,0.8566,0.363627,0.0778636,0.222986,0.349186,0.255055,3.31869,0.296345,0.0,,71.1047,18.3366,-4.69993,-0.365471,-0.365471,3.13366,16.59015265107155,-1.3470983505249023,132.213,645.6,5.816216216,645.6,5.816216216,54.04999923706055,0.15189873,C,/players/shea-langeliers/25816/stats/batting,10,AL,Shea Langeliers,669127,25816,25816
SFG,Giants,109,391,447,97,57,22,2,16,61,51,49,1,109,5,2,0,,5,2,0.24761,0.337377,0.438655,0.776032,0.337692,0.10907,0.243213,0.448454,0.191045,4.38238,0.300425,0.0,,61.809,8.94869,4.57425,-0.531622,-0.531622,3.11436,9.706218540668488,5.83507239818573,119.308,543.7,4.988073394,543.7,4.988073394,163.6199951171875,0.00617284,3B,/players/matt-chapman/16505/stats/batting,30,NL,Matt Chapman,656305,16505,16505
ATL,Braves,119,436,464,123,80,22,3,17,56,64,20,1,88,3,3,1,,15,3,0.282145,0.316403,0.465632,0.782034,0.33467,0.042869,0.190588,0.22493,0.183486,5.74085,0.317745,0.0,,62.976,8.14379,5.9074,0.975101,0.975101,3.11109,8.88075065612793,6.072836309671402,114.374,582.6,4.895798319,582.6,4.895798319,99.06999969482422,0.01587302,OF,/players/michael-harris-ii/25931/stats/batting,16,NL,Michael Harris II,671739,25931,25931
ATL,Braves,120,454,522,116,61,30,1,25,73,76,62,4,125,3,4,0,,1,0,0.256584,0.34726,0.490904,0.838164,0.357939,0.117837,0.239331,0.492361,0.23432,2.26599,0.297325,0.0,,80.7246,19.0281,4.12247,-0.670792,-0.670792,3.10855,18.08938980102539,-5.095249652862549,130.314,720.2,6.001666666,720.2,6.001666666,48.0099983215332,0.0,1B,/players/matt-olson/14344/stats/batting,16,NL,Matt Olson,621566,14344,14344
WSN,Nationals,120,449,523,116,64,26,2,23,74,75,69,6,157,3,3,0,,12,5,0.257445,0.358117,0.480719,0.838836,0.358633,0.131498,0.29949,0.439072,0.223274,4.84123,0.340107,0.0,,81.1778,19.3603,-0.804936,-0.3302,-0.3302,3.01999,19.066080391407013,-6.971679925918579,131.281,728.4,6.07,728.4,6.07,37.790000915527344,0.1865285,OF,/players/james-wood/29518/stats/batting,24,NL,James Wood,695578,29518,29518
PHI,Phillies,110,448,488,123,84,23,3,14,70,54,35,1,91,3,3,0,,19,3,0.275689,0.330924,0.430521,0.761445,0.330313,0.0712132,0.185435,0.384033,0.154832,6.22338,0.317261,0.0,,64.538,6.84201,0.478035,1.80065,1.80065,3.00776,7.732576012611389,5.40398246049881,110.25,597.9,5.435454545,597.9,5.435454545,26.780000686645508,0.00578035,SS,/players/trea-turner/16252/stats/batting,26,NL,Trea Turner,607208,16252,16252
LAA,Angels,116,428,484,106,60,26,1,19,69,64,40,3,126,13,2,1,,20,8,0.246903,0.328537,0.446125,0.774662,0.334335,0.0825084,0.259857,0.317515,0.199222,5.55532,0.302692,0.0,,65.6134,8.37021,-0.525147,0.114472,0.114472,3.00488,7.923730097711086,4.755888402462006,113.677,599.9,5.171551724,599.9,5.171551724,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1,AL,Zach Neto,687263,31347,31347
MIN,Twins,96,352,392,88,45,17,3,23,64,54,31,2,109,7,2,0,,10,0,0.249737,0.320455,0.50945,0.829906,0.35169,0.0782287,0.278042,0.281356,0.259713,7.27276,0.293341,0.0,,58.6265,12.2988,2.20994,1.56266,1.56266,2.95458,13.601686120033264,1.768882155418396,126.052,556.4,5.795833333,556.4,5.795833333,73.4800033569336,0.08227848,OF,/players/byron-buxton/14161/stats/batting,8,AL,Byron Buxton,621439,14161,14161
SDP,Padres,112,409,446,109,68,22,3,16,59,61,29,2,89,3,2,3,,7,2,0.266194,0.317647,0.454349,0.771996,0.330738,0.0657182,0.199416,0.329553,0.188155,5.42237,0.303007,0.0,,59.1172,6.40471,4.00895,-0.0584385,-0.0584385,2.95427,8.343127090483904,5.675103664398193,115.89,536.4,4.789285714,536.4,4.789285714,70.79000091552734,0.0,OF,/players/jackson-merrill/29490/stats/batting,29,NL,Jackson Merrill,701538,29490,29490
NYM,Mets,112,450,486,127,89,25,1,13,57,62,31,1,82,2,4,0,,5,3,0.283199,0.329501,0.426532,0.756033,0.327653,0.0632325,0.169432,0.373202,0.143332,3.13488,0.320188,0.0,,63.1674,5.75866,4.13952,-0.999111,-0.999111,2.92905,6.682322084903717,5.765862226486206,113.339,561.7,5.015178571,561.7,5.015178571,92.86000061035156,0.04571429,SS,/players/bo-bichette/19612/stats/batting,25,NL,Bo Bichette,666182,19612,19612
SDP,Padres,118,445,496,115,73,21,0,20,64,70,46,3,100,1,4,0,,7,2,0.257584,0.327139,0.439751,0.76689,0.330207,0.0934138,0.200808,0.46519,0.182166,3.50535,0.287948,0.0,,65.5251,6.90829,1.77909,-0.202443,-0.202443,2.92001,8.926371321082115,3.092903733253479,115.526,596.6,5.055932203,596.6,5.055932203,37.52000045776367,0.07894737,3B,/players/manny-machado/11493/stats/batting,29,NL,Manny Machado,592518,11493,11493
ATL,Braves,101,364,409,100,63,18,1,17,53,62,39,1,79,5,2,0,,0,0,0.275097,0.350705,0.476384,0.827089,0.356607,0.0942238,0.194167,0.485271,0.201287,2.61707,0.307234,0.0,,62.8185,14.4692,-0.349324,-0.597557,-0.597557,2.90444,13.661612629890442,1.0993243753910065,129.402,545.7,5.402970297,545.7,5.402970297,78.62999725341797,0.16326531,C,/players/drake-baldwin/31539/stats/batting,16,NL,Drake Baldwin,686948,31539,31539
KCR,Royals,120,451,501,121,83,26,3,9,65,54,43,0,77,1,4,2,,19,6,0.268323,0.331146,0.399724,0.73087,0.319861,0.0867665,0.153768,0.564268,0.131401,5.98022,0.303855,0.0,,62.0046,2.77011,7.41024,0.612435,0.612435,2.87679,1.715742588043213,9.131328701972961,101.867,555.0,4.625,555.0,4.625,63.150001525878906,0.02870813,3B,/players/maikel-garcia/22715/stats/batting,7,AL,Maikel Garcia,672580,22715,22715
BAL,Orioles,121,460,520,122,66,28,1,27,66,80,48,4,115,9,3,0,,2,1,0.264877,0.344548,0.504812,0.84936,0.361737,0.0921033,0.221864,0.415135,0.239935,2.46123,0.296118,0.0,,81.937,20.5385,-0.95283,-0.694235,-0.694235,2.87536,20.848797142505646,-10.646651566028595,135.175,735.9,6.081818181,735.9,6.081818181,24.440000534057617,0.03571429,1B,/players/pete-alonso/19251/stats/batting,2,AL,Pete Alonso,624413,19251,19251
CHC,Cubs,118,428,480,102,66,18,2,16,65,62,45,1,120,3,4,0,,11,2,0.238137,0.312304,0.401456,0.713759,0.311339,0.0946257,0.249999,0.378505,0.163319,5.48971,0.290252,0.0,,56.0581,-0.668933,6.32478,0.529118,0.529118,2.8584,0.9016017019748688,11.048169612884521,100.655,516.5,4.377118644,516.5,4.377118644,152.30999755859375,0.00520833,SS,/players/dansby-swanson/18314/stats/batting,17,NL,Dansby Swanson,621020,18314,18314
NYY,Yankees,104,354,409,93,48,20,1,23,64,66,46,1,90,6,3,0,,4,1,0.263112,0.355495,0.523935,0.87943,0.374771,0.113375,0.219749,0.515928,0.260824,4.05379,0.287092,0.0,,68.9039,20.5189,0.237681,-0.472694,-0.472694,2.82775,20.685205727815628,-7.154166370630264,143.838,607.5,5.841346153,607.5,5.841346153,53.189998626708984,0.31325301,1B,/players/ben-rice/29576/stats/batting,9,AL,Ben Rice,700250,29576,29576
ARI,Diamondbacks,108,403,459,105,64,20,2,19,65,60,48,3,79,5,2,0,,3,1,0.260706,0.344703,0.463739,0.808441,0.347641,0.104772,0.17297,0.605723,0.203032,4.25038,0.279971,0.0,,67.0587,12.8766,1.14816,-0.337197,-0.337197,2.80944,12.025127202272415,0.16334325075149536,122.746,594.9,5.508333333,594.9,5.508333333,32.63999938964844,0.17307692,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
DET,Tigers,118,438,491,118,71,24,2,21,67,74,48,1,134,3,3,0,,3,2,0.269555,0.343093,0.476224,0.819317,0.352373,0.0970402,0.272541,0.356057,0.206669,3.53093,0.339818,0.0,,73.6317,15.6615,2.01072,-1.04654,-1.04654,2.79914,14.583134889602661,-4.12640380859375,127.029,654.3,5.544915254,654.3,5.544915254,78.4800033569336,0.14070352,OF,/players/riley-greene/25976/stats/batting,6,AL,Riley Greene,682985,25976,25976
LAD,Dodgers,119,429,469,114,71,24,1,18,59,69,29,0,106,7,3,1,,9,3,0.265988,0.321221,0.455814,0.777035,0.334919,0.0621324,0.225694,0.275294,0.189826,4.56498,0.310988,0.0,,63.795,8.33244,1.13195,-0.301403,-0.301403,2.74431,8.335413873195648,2.855627179145813,115.525,570.6,4.794957983,570.6,4.794957983,133.4199981689453,0.0,OF,/players/andy-pages/24816/stats/batting,22,NL,Andy Pages,681624,24816,24816
CHC,Cubs,119,438,510,107,62,26,1,19,67,62,65,2,123,4,3,0,,6,2,0.245412,0.346602,0.439892,0.786494,0.341987,0.127026,0.241827,0.525278,0.19448,4.04374,0.296527,0.0,,72.2004,11.9731,2.94115,-0.493562,-0.493562,2.72359,12.58522042632103,-2.9396543502807617,121.649,633.7,5.325210084,633.7,5.325210084,184.86000061035156,0.03296703,OF,/players/ian-happ/17919/stats/batting,17,NL,Ian Happ,664023,17919,17919
STL,Cardinals,110,427,471,109,77,21,3,9,63,48,35,0,90,5,3,1,,10,3,0.254925,0.316544,0.376915,0.693459,0.305066,0.0741787,0.190802,0.388773,0.12199,5.39159,0.302192,0.0,,52.6303,-3.05691,7.69887,0.0138908,0.0138908,2.72212,-1.821990353986621,12.7328519821167,96.7133,476.6,4.332727272,476.6,4.332727272,364.7799987792969,0.0,SS,/players/masyn-winn/27479/stats/batting,28,NL,Masyn Winn,691026,27479,27479
LAD,Dodgers,111,423,480,121,75,29,2,16,62,63,49,6,84,6,2,0,,5,1,0.286072,0.365957,0.475461,0.841418,0.360493,0.101424,0.174797,0.580238,0.189388,4.0149,0.322843,0.0,,75.1821,18.4822,0.200302,-0.277991,-0.277991,2.71045,18.515408545732498,-8.004071429371834,133.044,672.2,6.055855855,672.2,6.055855855,67.87999725341797,0.0,1B,/players/freddie-freeman/5361/stats/batting,22,NL,Freddie Freeman,518692,5361,5361
LAD,Dodgers,95,332,384,85,56,14,1,14,50,50,44,2,74,6,2,0,,1,1,0.256526,0.351743,0.432676,0.784419,0.341891,0.114166,0.193305,0.590604,0.17615,3.1204,0.289662,0.0,,54.4019,8.99672,-0.864843,-0.691093,-0.691093,2.69306,8.554807543754578,4.9699547290802,120.301,471.0,4.957894736,471.0,4.957894736,95.69000244140625,0.00775194,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
SDP,Padres,107,394,437,105,76,18,1,10,49,47,38,1,79,3,2,0,,12,1,0.266539,0.334858,0.394041,0.728899,0.319828,0.0870659,0.179609,0.484751,0.127503,4.49248,0.308544,0.0,,54.0868,2.40536,1.39579,1.01238,1.01238,2.68637,5.375540137290955,6.314890146255493,108.417,488.9,4.569158878,488.9,4.569158878,237.1999969482422,0.05421687,SS,/players/xander-bogaerts/12161/stats/batting,29,NL,Xander Bogaerts,593428,12161,12161
PIT,Pirates,112,406,459,100,57,19,3,21,64,65,48,4,143,3,2,0,,27,4,0.245332,0.328441,0.462426,0.790867,0.338674,0.104742,0.310604,0.337219,0.217094,6.95505,0.320418,0.0,,63.8162,9.55257,-2.36998,2.93918,2.93918,2.66951,11.487204790115356,-0.6894067525863647,115.705,616.7,5.50625,616.7,5.50625,92.93000030517578,0.01875,SS/OF,/players/oneil-cruz/21711/stats/batting,27,NL,Oneil Cruz,665833,21711,21711
STL,Cardinals,100,381,438,96,69,15,1,10,59,52,44,1,73,10,3,0,,11,1,0.251186,0.34244,0.378825,0.721265,0.32055,0.100642,0.166316,0.605128,0.127639,5.40165,0.283742,0.0,,54.4669,2.66765,4.98156,0.808389,0.808389,2.63036,4.611821889877319,6.4979567527771,107.32,479.9,4.799,479.9,4.799,999.0,0.0,2B,/players/jj-wetherholt/34985/stats/batting,28,NL,JJ Wetherholt,802139,34985,34985
LAA,Angels,92,321,389,76,43,13,1,19,57,51,61,6,115,6,2,0,,4,0,0.237803,0.367904,0.462735,0.830639,0.357712,0.157854,0.29562,0.533975,0.224933,3.98889,0.303506,0.0,,60.1284,14.1183,-1.63082,0.0765677,0.0765677,2.61469,13.74399859458208,-1.6029956694692373,129.78,535.2,5.817391304,535.2,5.817391304,178.44000244140625,0.67901235,OF,/players/mike-trout/10155/stats/batting,1,AL,Mike Trout,545361,10155,10155
WSN,Nationals,120,446,497,116,73,23,3,17,70,63,34,2,93,12,4,1,,24,5,0.260246,0.32775,0.439906,0.767656,0.331382,0.0686321,0.186942,0.367131,0.179661,6.75677,0.29205,0.0,,66.1409,7.39744,-6.12308,1.94975,1.94975,2.57034,9.381393551826477,-0.8154144287109375,112.612,616.8,5.14,616.8,5.14,65.0,0.00568182,SS,/players/cj-abrams/25768/stats/batting,24,NL,CJ Abrams,682928,25768,25768
