Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,Player,xMLBAMID,playerids,playerid
ATL,Braves,108,439,468,123,80,22,3,18,58,66,21,1,88,3,3,1,,14,4,0.280764,0.316727,0.470153,0.786879,0.336379,0.0454259,0.188003,0.241623,0.189389,5.64151,0.312501,0.346348,,64.1906,8.86652,4.13394,0.691929,1.03828,3.14498,9.664528131484985,5.487639665603638,115.544,587.3,5.437962962,587.3,5.437962962,99.06999969482422,0.0106383,OF,/players/michael-harris-ii/25931/stats/batting,16.0,NL,Michael Harris II,671739,25931,25931
KCR,Royals,124,479,534,129,89,27,3,10,70,54,48,0,81,1,3,2,,21,6,0.27025,0.336044,0.405795,0.741839,0.324775,0.089369,0.151814,0.588674,0.135545,5.99325,0.30457,0.539749,,68.1318,5.07786,5.17083,0.770904,1.31065,3.08545,4.614235520362854,7.156942844390869,105.252,602.9,4.862096774,602.9,4.862096774,63.150001525878906,0.02898551,3B,/players/maikel-garcia/22715/stats/batting,7.0,AL,Maikel Garcia,672580,22715,22715
MIL,Brewers,122,463,526,122,85,23,2,13,71,58,56,1,108,2,3,3,,24,6,0.263933,0.343334,0.404943,0.748277,0.328006,0.106448,0.205939,0.51689,0.14101,5.94819,0.317299,0.373222,,68.5915,6.39024,1.79924,1.56955,1.94277,3.08497,8.827515006065369,3.80062997341156,111.035,623.3,5.109016393,623.3,5.109016393,48.18000030517578,0.0,2B,/players/brice-turang/22186/stats/batting,23.0,NL,Brice Turang,668930,22186,22186
LAD,Dodgers,96,361,416,97,61,19,2,15,61,55,48,2,50,3,3,1,,6,1,0.269439,0.357944,0.454976,0.812919,0.352225,0.115481,0.119547,0.965984,0.185537,4.49222,0.275722,-0.140561,,62.3351,13.2195,-1.63911,-0.190348,-0.330908,3.04997,13.158092945814133,2.814594268798828,127.38,551.3,5.742708333,551.3,5.742708333,60.58000183105469,0.0,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141,13611,13611
LAA,Angels,123,468,530,114,66,27,1,21,73,63,43,4,136,13,3,2,,23,8,0.244436,0.323487,0.437262,0.760749,0.328435,0.0812589,0.256481,0.316822,0.192826,5.62358,0.297986,0.27222,,69.1813,6.61237,-0.997653,0.579597,0.851817,3.046,6.851043105125427,4.675958335399628,109.612,641.1,5.212195121,641.1,5.212195121,32.29999923706055,0.0,SS,/players/zach-neto/31347/stats/batting,1.0,AL,Zach Neto,687263,31347,31347
CHC,Cubs,126,485,545,116,75,20,2,18,69,66,52,1,135,3,4,1,,12,3,0.238411,0.313051,0.398886,0.711937,0.31099,0.0945863,0.247921,0.381518,0.160475,5.21049,0.2912,0.641816,,63.4676,-0.913759,4.3502,0.423707,1.06552,3.03463,1.3337014615535736,10.188162803649902,100.415,582.6,4.623809523,582.6,4.623809523,152.30999755859375,0.00526316,SS,/players/dansby-swanson/18314/stats/batting,17.0,NL,Dansby Swanson,621020,18314,18314
ATL,Braves,126,471,546,121,66,28,1,26,75,80,67,4,131,4,4,0,,1,0,0.256322,0.351325,0.484704,0.836029,0.35817,0.122804,0.239894,0.511907,0.228382,2.45241,0.298074,-0.644939,,84.5539,20.0091,2.92702,-0.786343,-1.43128,3.03402,18.29753851890564,-6.827613830566406,130.473,752.8,5.974603174,752.8,5.974603174,48.0099983215332,0.0,1B,/players/matt-olson/14344/stats/batting,16.0,NL,Matt Olson,621566,14344,14344
STL,Cardinals,113,423,489,108,74,19,1,14,67,53,51,1,85,10,3,1,,12,2,0.25465,0.346443,0.400658,0.747101,0.329978,0.103633,0.173484,0.597364,0.146008,4.98071,0.28727,0.0808779,,64.4587,6.71461,2.83657,0.588784,0.669662,3.02652,8.650401890277863,4.662187099456787,113.779,574.4,5.08318584,574.4,5.08318584,999.0,0.0,2B,/players/jj-wetherholt/34985/stats/batting,28.0,NL,JJ Wetherholt,802139,34985,34985
NYM,Mets,91,347,393,89,56,17,2,15,57,47,37,1,72,6,2,1,,13,3,0.255941,0.33656,0.439988,0.776548,0.33728,0.0935453,0.184246,0.507719,0.184047,5.88079,0.283085,-0.277901,,54.1946,7.73386,2.35729,0.770548,0.492647,2.97128,9.782602339982986,6.169021368026733,119.934,498.4,5.476923076,498.4,5.476923076,25.350000381469727,0.01086957,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916
CHC,Cubs,125,468,539,118,77,22,2,17,66,65,61,2,76,6,4,0,,2,1,0.251575,0.343464,0.4168,0.760265,0.332544,0.112915,0.141379,0.79867,0.165225,3.18556,0.265739,-0.488932,,72.2503,8.53262,0.610299,-0.816642,-1.30557,2.95525,8.396799683570862,2.5362245440483093,115.181,629.8,5.0384,629.8,5.0384,119.16999816894531,0.02054795,3B,/players/alex-bregman/17678/stats/batting,17.0,NL,Alex Bregman,608324,17678,17678
