Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,Player,xMLBAMID,playerids,playerid
MIA,Marlins,8,9,22,22,,,,137.0,573,129,69,63,14,110,39,,5,4.17535,1.2293,7.25222,2.55654,2.83673,0.95218,0.192094,0.0677165,0.12437731772661209,,0.243932,0.283269,0.670591,3.85833,594.2000000000002,4.337226277372264,591.0,4.313868613138686,2.16409,1.80602,144.57000732421875,20,NL,Sandy Alcantara,645261,18684,18684
CIN,Reds,6,5,18,23,,,,90.0,377,81,44,40,12,106,27,,0,3.9915,1.20318,10.5366,2.71076,3.88698,1.23882,0.280014,0.072039,0.2079751417040825,,0.232483,0.297245,0.713641,3.48665,438.79999999999995,4.875555555555555,425.0,4.722222222222222,2.13009,1.42637,109.72000122070312,18,NL,Chase Burns,695505,35333,35333
PHI,Phillies,6,4,16,16,,,,97.0,399,84,41,37,10,101,27,,4,3.48027,1.14639,9.38845,2.54128,3.69438,0.956864,0.253237,0.0685466,0.18469026684761047,,0.227893,0.286806,0.727856,3.41474,485.4000000000001,5.004123711340207,464.0,4.783505154639175,2.07143,2.11657,110.48999786376953,26,NL,Zack Wheeler,554430,10310,10310
LAD,Dodgers,5,3,17,18,,,,92.0,380,74,40,37,11,110,31,,1,3.58323,1.1346,10.7249,3.04773,3.51899,1.09307,0.289765,0.0823432,0.2074214145541191,,0.211354,0.274984,0.727623,3.37018,477.1,5.185869565217391,441.0,4.793478260869565,2.06175,1.78044,113.73999786376953,22,NL,Tyler Glasnow,607192,14374,14374
PHI,Phillies,7,7,21,21,,,,120.0,505,116,64,58,18,122,32,,3,4.3796,1.23129,9.11106,2.3929,3.80753,1.34163,0.240808,0.0632452,0.177562914788723,,0.246683,0.296618,0.686836,3.91942,504.0,4.2,505.0,4.208333333333333,2.04688,1.24281,205.52999877929688,26,NL,Aaron Nola,605400,16149,16149
CLE,Guardians,8,8,23,23,,,,134.0,562,125,62,57,18,124,39,,5,3.83692,1.22138,8.32897,2.60116,3.20202,1.18673,0.220819,0.0689624,0.1518566980957985,,0.241266,0.285166,0.731097,3.97786,561.1999999999999,4.188059701492537,552.0,4.119402985074627,2.02091,1.99587,188.6300048828125,5,AL,Tanner Bibee,676440,30134,30134
PIT,Pirates,7,8,24,24,,,,134.0,571,133,64,59,15,116,41,,8,3.98937,1.30125,7.82985,2.78622,2.81021,1.01317,0.20376,0.0725071,0.13125291466712952,,0.254158,0.301139,0.716519,3.96216,546.3,4.076865671641791,560.0,4.17910447761194,2.00487,2.15885,518.6300048828125,27,NL,Mitch Keller,656605,17594,17594
SDP,Padres,8,6,21,23,,,,122.0,504,103,57,52,18,135,37,,3,3.82973,1.14652,9.91349,2.72154,3.6426,1.35095,0.267261,0.073371,0.1938900500535965,,0.222429,0.272868,0.73047,3.86274,563.6000000000001,4.619672131147542,526.0,4.311475409836065,1.96713,1.72935,96.01000213623047,29,NL,Nick Pivetta,601713,15454,15454
NYM,Mets,8,6,22,24,,,,123.0,521,107,56,52,13,129,46,,10,3.77809,1.24709,9.41625,3.39043,2.7773,0.935292,0.247866,0.089247,0.15861864387989044,,0.231324,0.293389,0.717864,3.76895,562.1000000000001,4.569918699186993,536.0,4.357723577235772,1.96257,1.93058,87.29000091552734,25,NL,Nolan McLean,690997,33703,33703
CIN,Reds,8,10,26,26,,,,137.0,584,135,76,70,19,125,43,,9,4.60901,1.30246,8.21994,2.86026,2.87385,1.24091,0.213776,0.0743867,0.13938917219638824,,0.253284,0.298544,0.672253,4.25528,523.1000000000001,3.818248175182483,532.0,3.883211678832117,1.95228,1.36464,388.25,18,NL,Brady Singer,663903,25377,25377
